tick,entity_id,event_type,vehicle_type,vehicle_id,link_id,mode,data
6,CAR_0030,journey_started,car,CAR_0030,,,"{""event_type"": ""journey_started"", ""vehicle_type"": ""car"", ""vehicle_id"": ""CAR_0030"", ""origin"": ""NODE_00048"", ""destination"": ""NODE_00087"", ""route_cost"": 3770.16, ""route_length"": 13, ""tick"": 6}"
6,CAR_0030,enter_link,car,CAR_0030,LINK_industrial_zone_rd_1,MESO,"{""event_type"": ""enter_link"", ""vehicle_type"": ""car"", ""vehicle_id"": ""CAR_0030"", ""link_id"": ""LINK_industrial_zone_rd_1"", ""mode"": ""MESO"", ""link_length"": 2000, ""link_capacity"": 193, ""cars_in_link"": 20, ""free_speed"": 40, ""calculated_speed"": 32.39, ""travel_time"": 61.75, ""lanes"": 2, ""tick"": 6}"
6,CAR_0030,signal_wait,car,CAR_0030,,,"{""event_type"": ""signal_wait"", ""vehicle_type"": ""car"", ""vehicle_id"": ""CAR_0030"", ""phase"": ""Red"", ""wait_until_tick"": 25, ""tick"": 6}"
6,CAR_0006,journey_started,car,CAR_0006,,,"{""event_type"": ""journey_started"", ""vehicle_type"": ""car"", ""vehicle_id"": ""CAR_0006"", ""origin"": ""NODE_00056"", ""destination"": ""NODE_00013"", ""route_cost"": 3748.49, ""route_length"": 16, ""tick"": 6}"
6,CAR_0006,signal_wait,car,CAR_0006,,,"{""event_type"": ""signal_wait"", ""vehicle_type"": ""car"", ""vehicle_id"": ""CAR_0006"", ""phase"": ""Red"", ""wait_until_tick"": 38, ""tick"": 6}"
9,CAR_0006,enter_link,car,CAR_0006,LINK_river_crossing_2,MESO,"{""event_type"": ""enter_link"", ""vehicle_type"": ""car"", ""vehicle_id"": ""CAR_0006"", ""link_id"": ""LINK_river_crossing_2"", ""mode"": ""MESO"", ""link_length"": 2000, ""link_capacity"": 129, ""cars_in_link"": 46, ""free_speed"": 60, ""calculated_speed"": 34.72, ""travel_time"": 57.6, ""lanes"": 3, ""tick"": 9}"
9,CAR_0030,signal_wait,car,CAR_0030,,,"{""event_type"": ""signal_wait"", ""vehicle_type"": ""car"", ""vehicle_id"": ""CAR_0030"", ""phase"": ""Red"", ""wait_until_tick"": 48, ""tick"": 9}"
9,CAR_0006,signal_wait,car,CAR_0006,,,"{""event_type"": ""signal_wait"", ""vehicle_type"": ""car"", ""vehicle_id"": ""CAR_0006"", ""phase"": ""Red"", ""wait_until_tick"": 58, ""tick"": 9}"
9,CAR_0030,enter_link,car,CAR_0030,LINK_downtown_main_st_4,MESO,"{""event_type"": ""enter_link"", ""vehicle_type"": ""car"", ""vehicle_id"": ""CAR_0030"", ""link_id"": ""LINK_downtown_main_st_4"", ""mode"": ""MESO"", ""link_length"": 250, ""link_capacity"": 139, ""cars_in_link"": 22, ""free_speed"": 50, ""calculated_speed"": 47.65, ""travel_time"": 5.25, ""lanes"": 2, ""tick"": 9}"
9,CAR_0006,signal_wait,car,CAR_0006,,,"{""event_type"": ""signal_wait"", ""vehicle_type"": ""car"", ""vehicle_id"": ""CAR_0006"", ""phase"": ""Red"", ""wait_until_tick"": 46, ""tick"": 9}"
9,CAR_0036,journey_started,car,CAR_0036,,,"{""event_type"": ""journey_started"", ""vehicle_type"": ""car"", ""vehicle_id"": ""CAR_0036"", ""origin"": ""NODE_00087"", ""destination"": ""NODE_00050"", ""route_cost"": 1492.32, ""route_length"": 28, ""tick"": 9}"
9,CAR_0006,enter_link,car,CAR_0006,LINK_uptown_avenue_2,MESO,"{""event_type"": ""enter_link"", ""vehicle_type"": ""car"", ""vehicle_id"": ""CAR_0006"", ""link_id"": ""LINK_uptown_avenue_2"", ""mode"": ""MESO"", ""link_length"": 500, ""link_capacity"": 158, ""cars_in_link"": 32, ""free_speed"": 40, ""calculated_speed"": 32.92, ""travel_time"": 15.19, ""lanes"": 3, ""tick"": 9}"
9,CAR_0030,enter_micro_link,car,CAR_0030,LINK_shopping_district_4,MICRO,"{""event_type"": ""enter_micro_link"", ""vehicle_type"": ""car"", ""vehicle_id"": ""CAR_0030"", ""link_id"": ""LINK_shopping_district_4"", ""mode"": ""MICRO"", ""link_length"": 2000, ""link_capacity"": 85, ""cars_in_link"": 9, ""free_speed"": 50, ""calculated_speed"": 30.66, ""travel_time"": 65.22, ""lanes"": 1, ""tick"": 9}"
9,CAR_0030,enter_link,car,CAR_0030,LINK_downtown_main_st_5,MESO,"{""event_type"": ""enter_link"", ""vehicle_type"": ""car"", ""vehicle_id"": ""CAR_0030"", ""link_id"": ""LINK_downtown_main_st_5"", ""mode"": ""MESO"", ""link_length"": 2000, ""link_capacity"": 196, ""cars_in_link"": 28, ""free_speed"": 50, ""calculated_speed"": 34.2, ""travel_time"": 58.49, ""lanes"": 4, ""tick"": 9}"
9,CAR_0036,signal_wait,car,CAR_0036,,,"{""event_type"": ""signal_wait"", ""vehicle_type"": ""car"", ""vehicle_id"": ""CAR_0036"", ""phase"": ""Red"", ""wait_until_tick"": 24, ""tick"": 9}"
9,CAR_0030,signal_wait,car,CAR_0030,,,"{""event_type"": ""signal_wait"", ""vehicle_type"": ""car"", ""vehicle_id"": ""CAR_0030"", ""phase"": ""Red"", ""wait_until_tick"": 55, ""tick"": 9}"
9,CAR_0036,signal_wait,car,CAR_0036,,,"{""event_type"": ""signal_wait"", ""vehicle_type"": ""car"", ""vehicle_id"": ""CAR_0036"", ""phase"": ""Red"", ""wait_until_tick"": 32, ""tick"": 9}"
9,CAR_0030,enter_link,car,CAR_0030,LINK_river_crossing_0,MESO,"{""event_type"": ""enter_link"", ""vehicle_type"": ""car"", ""vehicle_id"": ""CAR_0030"", ""link_id"": ""LINK_river_crossing_0"", ""mode"": ""MESO"", ""link_length"": 1000, ""link_capacity"": 123, ""cars_in_link"": 30, ""free_speed"": 50, ""calculated_speed"": 28.44, ""travel_time"": 35.16, ""lanes"": 2, ""tick"": 9}"
9,CAR_0036,enter_link,car,CAR_0036,LINK_uptown_avenue_0,MESO,"{""event_type"": ""enter_link"", ""vehicle_type"": ""car"", ""vehicle_id"": ""CAR_0036"", ""link_id"": ""LINK_uptown_avenue_0"", ""mode"": ""MESO"", ""link_length"": 500, ""link_capacity"": 50, ""cars_in_link"": 39, ""free_speed"": 50, ""calculated_speed"": 32.28, ""travel_time"": 15.49, ""lanes"": 3, ""tick"": 9}"
9,CAR_0030,enter_micro_link,car,CAR_0030,LINK_market_street_0,MICRO,"{""event_type"": ""enter_micro_link"", ""vehicle_type"": ""car"", ""vehicle_id"": ""CAR_0030"", ""link_id"": ""LINK_market_street_0"", ""mode"": ""MICRO"", ""link_length"": 250, ""link_capacity"": 94, ""cars_in_link"": 49, ""free_speed"": 60, ""calculated_speed"": 46.38, ""travel_time"": 5.39, ""lanes"": 4, ""tick"": 9}"
9,CAR_0006,enter_link,car,CAR_0006,LINK_industrial_zone_rd_3,MESO,"{""event_type"": ""enter_link"", ""vehicle_type"": ""car"", ""vehicle_id"": ""CAR_0006"", ""link_id"": ""LINK_industrial_zone_rd_3"", ""mode"": ""MESO"", ""link_length"": 2000, ""link_capacity"": 98, ""cars_in_link"": 18, ""free_speed"": 60, ""calculated_speed"": 31.1, ""travel_time"": 64.31, ""lanes"": 3, ""tick"": 9}"
